,Name,link
0,Cuentos,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575670011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_3
0,Estados Unidos,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575671011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_4
0,Ficción Contemporánea,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575685011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_5
0,Ficción de Mujeres,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575699011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_6
0,Ficción Histórica,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575701011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_7
0,Ficción Infantil y Juvenil,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575702011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_8
0,Ficción Literaria,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575718011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_9
0,Ficción por Género,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575686011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_10
0,Ficción Religiosa,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575719011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_11
0,Horror,https://www.amazon.com.mx//s?bbn=9575666011&rh=n%3A9298576011%2Cn%3A9575666011%2Cn%3A9575725011&dc&qid=1609292924&rnid=9575666011&ref=lp_9575666011_nr_n_12
